,decision_id,type of insurance,premium/payment,service attitude/communication,fail to meet customer's expectations,claims processing delays,policy terms,gender,location,title,date,company,decision,extras,tag
0,DRN-4841485,Motor,No,No,Yes,No,Yes,Male,decision/DRN-4841485.pdf,Decision Reference DRN-4841485,11-Jun-24,Mulsanne Insurance Company Limited,Not upheld,,Insurance
1,DRN-4798432,Legal Expenses and Monetary Loss,No,Yes,Yes,Yes,No,Female,decision/DRN-4798432.pdf,Decision Reference DRN-4798432,11-Jun-24,One Insurance Limited,Upheld,,Insurance
2,DRN-4841285,Motor,No,Yes,Yes,No,No,Male,decision/DRN-4841285.pdf,Decision Reference DRN-4841285,11-Jun-24,Ageas Insurance Limited,Upheld,,Insurance
3,DRN-4842247,Travel,No,No,Yes,No,Yes,Male and Female,decision/DRN-4842247.pdf,Decision Reference DRN-4842247,11-Jun-24,AWP P&C S.A.,Not upheld,,Insurance
4,DRN-4846269,Motor,Yes,Yes,Yes,No,Yes,Male,decision/DRN-4846269.pdf,Decision Reference DRN-4846269,11-Jun-24,esure Insurance Limited,Not upheld,,Insurance
5,DRN-4812413,Motor,Yes,No,Yes,No,No,Male,decision/DRN-4812413.pdf,Decision Reference DRN-4812413,11-Jun-24,Accredited Insurance (Europe) Ltd,Not upheld,,Insurance
6,DRN-4785201,Household and Commercial Property,No,No,Yes,No,Yes,Male,decision/DRN-4785201.pdf,Decision Reference DRN-4785201,11-Jun-24,Helvetia Global Solutions Ltd,Not upheld,,Insurance
7,DRN-4840735,Household and Commercial Property,Yes,Yes,Yes,Yes,No,Female,decision/DRN-4840735.pdf,Decision Reference DRN-4840735,11-Jun-24,AXA Insurance UK Plc,Upheld,,Insurance
8,DRN-4845760,Animal,No,Yes,Yes,No,Yes,Female,decision/DRN-4845760.pdf,Decision Reference DRN-4845760,11-Jun-24,Royal & Sun Alliance Insurance Limited,Upheld,,Insurance
9,DRN-4741567,Not specified,No,No,No,Not specified,Not specified,Not specified,decision/DRN-4741567.pdf,Decision Reference DRN-4741567,11-Jun-24,Great Lakes Insurance SE,Not upheld,,Insurance
10,DRN-4544292,Motor,No,Yes,Yes,Yes,Yes,Male,decision/DRN-4544292.pdf,Decision Reference DRN-4544292,11-Jun-24,A plan holdings,Not upheld,,Insurance
11,DRN-4717716,Household and Commercial Property,No,Yes,Yes,Yes,Yes,Male and Female,decision/DRN-4717716.pdf,Decision Reference DRN-4717716,11-Jun-24,Zurich Insurance PLC,Upheld,,Insurance
12,DRN-4785129,Motor,No,Yes,Yes,No,No,Male,decision/DRN-4785129.pdf,Decision Reference DRN-4785129,11-Jun-24,AXA Insurance UK Plc,Not upheld,,Insurance
13,DRN-4737282,Motor,No,Yes,Yes,No,Yes,Female,decision/DRN-4737282.pdf,Decision Reference DRN-4737282,11-Jun-24,Liverpool Victoria Insurance Company Limited,Not upheld,,Insurance
14,DRN-4587129,Household and Commercial Property,No,No,Yes,No,Yes,Female,decision/DRN-4587129.pdf,Decision Reference DRN-4587129,11-Jun-24,Fairmead Insurance Limited,Not upheld,,Insurance
15,DRN-4819906,Motor,No,Yes,Yes,No,No,Male,decision/DRN-4819906.pdf,Decision Reference DRN-4819906,11-Jun-24,Admiral Insurance (Gibraltar) Limited,Upheld,,Insurance
16,DRN-4504669,Household and Commercial Property,Yes,Yes,Yes,Yes,Yes,Female,decision/DRN-4504669.pdf,Decision Reference DRN-4504669,11-Jun-24,Royal & Sun Alliance Insurance Limited,Upheld,,Insurance
